,population,racepctblack,racePctWhite,racePctHisp,agePct12t21,agePct16t24,pctUrban,medFamInc,perCapInc,blackPerCap,OtherPerCap,HispPerCap,PctBSorMore,PctEmplManu,PctEmplProfServ,PctOccupManu,PctKids2Par,PctYoungKids2Par,NumIlleg,PctIlleg,PctImmigRecent,PctRecImmig5,PctRecImmig10,PctSpeakEnglOnly,PersPerOccupHous,PersPerRentOccHous,PctPersOwnOccup,PctHousLess3BR,HousVacant,MedYrHousBuilt,PctHousNoPhone,OwnOccLowQuart,OwnOccMedVal,RentMedian,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumStreet,PctSameHouse85,PctSameCity85,PctUsePubTrans,ViolentCrimesPerPop
0,1,1,4,1,2,2,4,2,2,2,2,2,2,1,2,1,3,3,1,1,1,1,1,4,2,2,3,3,1,3,1,1,1,2,2,2,1,1,2,3,1,1
1,1,1,3,1,2,2,4,2,2,2,1,2,2,3,1,2,2,3,1,1,3,2,1,4,1,1,2,4,1,3,1,1,1,2,2,2,1,1,2,3,2,3
2,1,2,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,4,2,2,2,3,1,3,2,1,1,2,2,2,2,1,3,3,1,2
3,1,4,1,1,3,2,4,3,2,2,2,2,2,2,2,2,3,4,1,2,1,1,1,4,4,4,4,1,1,3,1,1,1,3,3,3,2,1,3,3,2,1
4,1,1,4,1,2,1,4,2,2,2,3,2,2,3,2,2,4,4,1,1,1,1,1,4,3,2,4,1,1,3,1,2,2,2,1,3,1,1,3,3,1,1
5,1,1,3,1,2,2,4,3,3,4,2,3,4,1,4,1,3,4,1,1,2,2,3,2,2,1,2,3,1,1,1,4,4,3,2,3,1,1,2,3,1,1
6,1,1,4,1,2,1,4,2,2,2,1,2,2,2,3,2,4,4,1,1,1,1,1,3,2,1,3,2,1,2,1,2,2,2,2,2,2,1,4,4,1,1
7,1,1,2,4,3,2,1,1,1,1,1,1,1,2,2,3,2,2,1,2,2,3,3,1,4,4,2,3,1,3,2,1,1,1,3,3,2,1,3,4,1,2
8,1,1,4,1,2,2,4,1,1,1,2,1,1,3,2,3,3,3,1,2,1,1,1,4,2,2,2,3,1,2,3,1,1,1,2,1,2,1,2,4,1,2
9,1,1,4,1,4,4,4,4,4,1,1,4,4,1,4,1,3,4,1,1,2,1,1,4,1,1,2,3,1,1,1,3,3,2,1,2,2,1,2,1,1,1
10,1,1,1,2,2,2,4,2,2,2,2,2,2,1,2,2,3,3,1,2,2,4,4,1,4,3,2,3,1,2,1,3,3,3,3,3,1,1,3,2,4,1
